timestamp,energy_kwh,date,hour,day_of_week,month
2025-05-01 00:00:00,7.369894654457856,2025-05-01,0,3,5
2025-05-01 01:00:00,6.325868586860006,2025-05-01,1,3,5
2025-05-01 02:00:00,6.805434770774249,2025-05-01,2,3,5
2025-05-01 03:00:00,6.416168330895192,2025-05-01,3,3,5
2025-05-01 04:00:00,8.366234951802294,2025-05-01,4,3,5
2025-05-01 05:00:00,11.565480110842161,2025-05-01,5,3,5
2025-05-01 06:00:00,39.72289956737389,2025-05-01,6,3,5
2025-05-01 07:00:00,13.723536116696721,2025-05-01,7,3,5
2025-05-01 08:00:00,14.710656655814129,2025-05-01,8,3,5
2025-05-01 09:00:00,14.289695526832631,2025-05-01,9,3,5
2025-05-01 10:00:00,11.73954668538058,2025-05-01,10,3,5
2025-05-01 11:00:00,9.353657946904953,2025-05-01,11,3,5
2025-05-01 12:00:00,8.417439053469877,2025-05-01,12,3,5
2025-05-01 13:00:00,9.97222836763776,2025-05-01,13,3,5
2025-05-01 14:00:00,10.136980300885812,2025-05-01,14,3,5
2025-05-01 15:00:00,9.067977121196117,2025-05-01,15,3,5
2025-05-01 16:00:00,8.591746381547795,2025-05-01,16,3,5
2025-05-01 17:00:00,11.743939468247813,2025-05-01,17,3,5
2025-05-01 18:00:00,14.876648745725124,2025-05-01,18,3,5
2025-05-01 19:00:00,17.928816050978327,2025-05-01,19,3,5
2025-05-01 20:00:00,17.246711870041512,2025-05-01,20,3,5
2025-05-01 21:00:00,16.165669759381768,2025-05-01,21,3,5
2025-05-01 22:00:00,12.960505480239322,2025-05-01,22,3,5
2025-05-01 23:00:00,33.56983034696716,2025-05-01,23,3,5
2025-05-02 00:00:00,6.0546170825178915,2025-05-02,0,4,5
2025-05-02 01:00:00,14.44607421275123,2025-05-02,1,4,5
2025-05-02 02:00:00,7.501158103575951,2025-05-02,2,4,5
2025-05-02 03:00:00,8.925869297172072,2025-05-02,3,4,5
2025-05-02 04:00:00,8.475810352497948,2025-05-02,4,4,5
2025-05-02 05:00:00,10.195529008644188,2025-05-02,5,4,5
2025-05-02 06:00:00,15.568024407121799,2025-05-02,6,4,5
2025-05-02 07:00:00,15.255729080601972,2025-05-02,7,4,5
2025-05-02 08:00:00,16.290813760062868,2025-05-02,8,4,5
2025-05-02 09:00:00,13.414570516518449,2025-05-02,9,4,5
2025-05-02 10:00:00,26.37217874630653,2025-05-02,10,4,5
2025-05-02 11:00:00,26.70530401948811,2025-05-02,11,4,5
2025-05-02 12:00:00,20.576843516385406,2025-05-02,12,4,5
2025-05-02 13:00:00,6.470727778569379,2025-05-02,13,4,5
2025-05-02 14:00:00,9.327712854550112,2025-05-02,14,4,5
2025-05-02 15:00:00,8.111180026887313,2025-05-02,15,4,5
2025-05-02 16:00:00,10.20111792679972,2025-05-02,16,4,5
2025-05-02 17:00:00,10.340335529562145,2025-05-02,17,4,5
2025-05-02 18:00:00,13.61241274227163,2025-05-02,18,4,5
2025-05-02 19:00:00,16.396906983312785,2025-05-02,19,4,5
2025-05-02 20:00:00,17.364536303251246,2025-05-02,20,4,5
2025-05-02 21:00:00,18.21568870345656,2025-05-02,21,4,5
2025-05-02 22:00:00,14.727643589489919,2025-05-02,22,4,5
2025-05-02 23:00:00,10.2392494563827,2025-05-02,23,4,5
2025-05-03 00:00:00,7.900758049229645,2025-05-03,0,5,5
2025-05-03 01:00:00,7.887815973137706,2025-05-03,1,5,5
2025-05-03 02:00:00,7.995319463773174,2025-05-03,2,5,5
2025-05-03 03:00:00,9.953122779083207,2025-05-03,3,5,5
2025-05-03 04:00:00,12.005311857630879,2025-05-03,4,5,5
2025-05-03 05:00:00,28.069504023679375,2025-05-03,5,5,5
2025-05-03 06:00:00,18.72097862530187,2025-05-03,6,5,5
2025-05-03 07:00:00,17.788529229059222,2025-05-03,7,5,5
2025-05-03 08:00:00,19.320173808565016,2025-05-03,8,5,5
2025-05-03 09:00:00,14.928202528302927,2025-05-03,9,5,5
2025-05-03 10:00:00,14.135240863312495,2025-05-03,10,5,5
2025-05-03 11:00:00,9.720058906709276,2025-05-03,11,5,5
2025-05-03 12:00:00,11.743573286583384,2025-05-03,12,5,5
2025-05-03 13:00:00,9.627862662816476,2025-05-03,13,5,5
2025-05-03 14:00:00,11.525015064110331,2025-05-03,14,5,5
2025-05-03 15:00:00,12.36222002858404,2025-05-03,15,5,5
2025-05-03 16:00:00,11.028155959371825,2025-05-03,16,5,5
2025-05-03 17:00:00,16.08981572503628,2025-05-03,17,5,5
2025-05-03 18:00:00,16.704369596104854,2025-05-03,18,5,5
2025-05-03 19:00:00,19.80696133200937,2025-05-03,19,5,5
